id,year,month,day,hour,minute,second,Etime,Tcham
0,2021,6,9,17,3,50,-60,19.84
1,2021,6,9,17,3,51,-59,19.76
2,2021,6,9,17,3,52,-58,19.93
3,2021,6,9,17,3,53,-57,19.93
4,2021,6,9,17,3,54,-56,19.51
5,2021,6,9,17,3,55,-55,19.84
6,2021,6,9,17,3,56,-54,19.84
7,2021,6,9,17,3,57,-53,20.01
8,2021,6,9,17,3,58,-52,19.84
9,2021,6,9,17,3,59,-51,19.93
10,2021,6,9,17,4,0,-50,19.84
11,2021,6,9,17,4,1,-49,20.09
12,2021,6,9,17,4,2,-48,20.01
13,2021,6,9,17,4,3,-47,20.01
14,2021,6,9,17,4,4,-46,20.01
15,2021,6,9,17,4,5,-45,20.09
16,2021,6,9,17,4,7,-44,20.01
17,2021,6,9,17,4,8,-43,20.01
18,2021,6,9,17,4,9,-42,19.93
19,2021,6,9,17,4,10,-41,20.09
20,2021,6,9,17,4,11,-40,20.01
21,2021,6,9,17,4,12,-39,20.09
22,2021,6,9,17,4,13,-38,20.01
23,2021,6,9,17,4,14,-37,20.01
24,2021,6,9,17,4,15,-36,19.93
25,2021,6,9,17,4,16,-35,20.01
26,2021,6,9,17,4,17,-34,19.93
27,2021,6,9,17,4,18,-33,20.01
28,2021,6,9,17,4,19,-32,20.01
29,2021,6,9,17,4,20,-31,20.01
30,2021,6,9,17,4,21,-30,19.93
31,2021,6,9,17,4,22,-29,20.09
32,2021,6,9,17,4,23,-28,20.01
33,2021,6,9,17,4,24,-27,20.01
34,2021,6,9,17,4,25,-26,20.01
35,2021,6,9,17,4,26,-25,20.01
36,2021,6,9,17,4,27,-24,20.01
37,2021,6,9,17,4,28,-23,20.01
38,2021,6,9,17,4,29,-22,20.01
39,2021,6,9,17,4,30,-21,20.01
40,2021,6,9,17,4,31,-20,20.01
41,2021,6,9,17,4,32,-19,19.93
42,2021,6,9,17,4,33,-18,20.01
43,2021,6,9,17,4,34,-17,19.93
44,2021,6,9,17,4,35,-16,19.84
45,2021,6,9,17,4,36,-15,19.84
46,2021,6,9,17,4,37,-14,20.01
47,2021,6,9,17,4,38,-13,19.84
48,2021,6,9,17,4,39,-12,19.93
49,2021,6,9,17,4,40,-11,19.76
50,2021,6,9,17,4,41,-10,19.76
51,2021,6,9,17,4,43,-9,19.76
52,2021,6,9,17,4,44,-8,19.68
